error,sigma_12,sigma_15,sigma_25
tracking,0.4908334446961015,0.6056880873359431,1.0085380277856058
endo_T_R,0.734066006874725,0.9279178716632607,1.5279702386750729
hand_eye,0.20318094898696692,0.25562273926766743,0.43030332079263667
AR_px,8.519982214636105,10.444698308271292,16.8685675218528
