error,sigma_12,sigma_15,sigma_25
D2_errors_px,0.7581488014927334,0.9483123261787031,1.6244032947410785
D2_errors_mm,0.6504589590331163,0.8136366657115733,1.3937043858764149
D3_errors_px,9.495978835981575,5.759836666711326,9.495978835981575
D3_errors_mm,8.149207379549745,4.94345567162146,8.149207379549745
D3D2_errors_px,4.409015166945606,5.31612674367784,8.763045904656446
D3D2_errors_mm,3.7841491461268846,4.56253213473454,7.520120918225108
