error,sigma_12,sigma_15,sigma_25
tracking_length_10,0.3190267927722619,0.3972216131710946,0.662362428444691
tracking_length_15,0.39265073002663087,0.4915523601032577,0.8152940089211161
tracking_length_25,0.47013648970343236,0.5856799241389373,0.9752333897688951
tracking_registration_p,0.9332623378250994,1.050220975595009,1.50877224007933
